ct_id,od_id,mb_id,it_id,it_name,it_sc_type,it_sc_method,it_sc_price,it_sc_minimum,it_sc_qty,ct_status,ct_history,ct_price,ct_point,cp_price,ct_point_use,ct_stock_use,ct_option,ct_qty,ct_notax,io_id,io_type,io_price,ct_time,ct_ip,ct_send_cost,ct_direct,ct_select,ct_select_time
4,2025121616541085,baraem,1765422165,1:1 매칭 장학기금4,0,0,0,0,0,입금,,0,0,0,0,0,1:1 매칭 장학기금4,1,0,,0,0,2025-12-16 16:54:10,172.18.0.3,0,1,1,2025-12-16 16:54:10
16,2025121812101715,baraem,1765422165,1:1 매칭 장학기금4,0,0,0,0,0,입금,,0,0,0,0,0,1:1 매칭 장학기금4,1,0,,0,0,2025-12-18 12:06:35,172.18.0.3,0,1,1,2025-12-18 12:06:35
17,2025122312211501,baraem,1765422165,1:1 매칭 장학기금4,0,0,0,0,0,입금,,0,0,0,0,0,1:1 매칭 장학기금4,1,0,,0,0,2025-12-23 11:56:14,172.18.0.3,0,1,1,2025-12-23 11:56:14
18,2025122312415570,baraem,1765420977,미래를 여는 교육기금,0,0,0,0,0,입금,,0,0,0,0,0,미래를 여는 교육기금,1,0,,0,0,2025-12-23 12:41:54,172.18.0.3,0,1,1,2025-12-23 12:41:54
21,2025122411164478,baraem,1765422165,1:1 매칭 장학기금4,0,0,0,0,0,주문,,0,0,0,0,0,1:1 매칭 장학기금4,1,0,,0,0,2025-12-24 11:16:43,172.18.0.3,0,1,1,2025-12-24 11:16:43
32,2025122415552448,baraem,1766559259,테스트,0,0,0,0,0,주문,,0,0,0,0,0,테스트,1,0,,0,0,2025-12-24 15:55:24,112.217.175.210,0,1,1,2025-12-24 15:55:24
34,2025122609455297,baraem,1766462228,빠른기부 캠페인명,0,0,0,0,0,주문,,0,0,0,0,0,빠른기부 캠페인명,1,0,,0,0,2025-12-26 09:45:43,112.217.175.210,0,1,1,2025-12-26 09:45:43
39,2025122614283266,nsu07001,1766462228,빠른기부 캠페인명,0,0,0,0,0,취소,,0,0,0,0,0,빠른기부 캠페인명,1,0,,0,0,2025-12-26 14:28:32,112.217.175.210,0,1,1,2025-12-26 14:28:32
41,2025122614500942,nsu07001,1765421135,학생 성장 지원 기금,0,0,0,0,0,주문,,0,0,0,0,0,학생 성장 지원 기금,1,0,,0,0,2025-12-26 14:50:09,112.217.175.210,0,1,1,2025-12-26 14:50:09
66,2025123018232293,admin,1766971041,등록금 한번 더 내기,0,0,0,0,0,입금,,0,0,0,0,0,등록금 한번 더 내기,1,0,,0,0,2025-12-30 18:11:38,210.117.124.191,0,1,1,2025-12-30 18:11:38
68,2025123018332546,admin,1766971041,등록금 한번 더 내기,0,0,0,0,0,입금,,0,0,0,0,0,등록금 한번 더 내기,1,0,,0,0,2025-12-30 18:33:25,210.117.124.191,0,1,1,2025-12-30 18:33:25
69,2025123018394201,admin,1766971041,등록금 한번 더 내기,0,0,0,0,0,입금,,0,0,0,0,0,등록금 한번 더 내기,1,0,,0,0,2025-12-30 18:39:41,172.18.0.3,0,1,1,2025-12-30 18:39:41
71,2025123110461170,admin,1766971041,등록금 한번 더 내기,0,0,0,0,0,입금,,0,0,0,0,0,등록금 한번 더 내기,1,0,,0,0,2025-12-31 10:46:10,172.18.0.3,0,1,1,2025-12-31 10:46:10
74,2025123111283739,,1766971041,등록금 한번 더 내기,0,0,0,0,0,주문,,0,0,0,0,0,등록금 한번 더 내기,1,0,,0,0,2025-12-31 11:18:48,172.18.0.3,0,1,1,2025-12-31 11:18:48
75,2025123111345737,baraem,1766971041,등록금 한번 더 내기,0,0,0,0,0,주문,,0,0,0,0,0,등록금 한번 더 내기,1,0,,0,0,2025-12-31 11:34:56,172.18.0.3,0,1,1,2025-12-31 11:34:56
81,2025123113031472,admin,1767150275,빠른기부하기,0,0,0,0,0,주문,,0,0,0,0,0,빠른기부하기,1,0,,0,0,2025-12-31 13:03:14,210.117.124.191,0,1,1,2025-12-31 13:03:14
86,2025123115214583,admin,1766971030,1:1 매칭 장학기금,0,0,0,0,0,입금,,0,0,0,0,0,1:1 매칭 장학기금,1,0,,0,0,2025-12-31 15:21:45,211.57.11.233,0,1,1,2025-12-31 15:21:45
94,2026011317041165,,1767150275,빠른기부하기,0,0,0,0,0,쇼핑,,0,0,0,0,0,빠른기부하기,1,0,,0,0,2026-01-13 17:04:11,211.36.152.126,0,1,0,2026-01-13 17:04:11
95,2026011614360631,,1767150275,빠른기부하기,0,0,0,0,0,쇼핑,,0,0,0,0,0,빠른기부하기,1,0,,0,0,2026-01-16 14:36:06,203.246.21.117,0,1,0,2026-01-16 14:36:06
96,2026011614371804,,1767150275,빠른기부하기,0,0,0,0,0,쇼핑,,0,0,0,0,0,빠른기부하기,1,0,,0,0,2026-01-16 14:37:18,203.246.21.117,0,1,0,2026-01-16 14:37:18
98,2026012009501680,admin,1767150275,빠른기부하기,0,0,0,0,0,쇼핑,,0,0,0,0,0,빠른기부하기,1,0,,0,0,2026-01-20 10:11:04,112.217.175.210,0,1,0,2026-01-20 10:11:04
99,2026012208595982,,1767150275,빠른기부하기,0,0,0,0,0,쇼핑,,0,0,0,0,0,빠른기부하기,1,0,,0,0,2026-01-22 08:59:59,117.111.8.112,0,1,0,2026-01-22 08:59:59
100,2026012209015863,admin,1767150275,빠른기부하기,0,0,0,0,0,쇼핑,,0,0,0,0,0,빠른기부하기,1,0,,0,0,2026-01-22 09:01:58,112.217.175.210,0,1,0,2026-01-22 09:01:58
102,2026012215360664,baraem,1767150275,빠른기부하기,0,0,0,0,0,쇼핑,,0,0,0,0,0,빠른기부하기,1,0,,0,0,2026-01-22 15:36:43,172.20.0.2,0,1,0,2026-01-22 15:36:43
103,2026012217233807,,1767150275,빠른기부하기,0,0,0,0,0,쇼핑,,0,0,0,0,0,빠른기부하기,1,0,,0,0,2026-01-22 17:23:38,210.182.92.5,0,1,0,2026-01-22 17:23:38
104,2026012217265996,,1767150275,빠른기부하기,0,0,0,0,0,쇼핑,,0,0,0,0,0,빠른기부하기,1,0,,0,0,2026-01-22 17:26:59,210.182.92.7,0,1,0,2026-01-22 17:26:59
105,2026012217414242,,1767150275,빠른기부하기,0,0,0,0,0,쇼핑,,0,0,0,0,0,빠른기부하기,1,0,,0,0,2026-01-22 17:41:42,210.182.92.7,0,1,0,2026-01-22 17:41:42
107,2026012218365037,testuser2025,1767150275,빠른기부하기,0,0,0,0,0,입금,,0,0,0,0,0,빠른기부하기,1,0,,0,0,2026-01-22 18:36:49,172.20.0.2,0,1,1,2026-01-22 18:36:49
111,2026012218573178,testuser2025,1767150275,빠른기부하기,0,0,0,0,0,입금,,0,0,0,0,0,빠른기부하기,1,0,,0,0,2026-01-22 18:57:31,172.20.0.2,0,1,1,2026-01-22 18:57:31
112,2026012219072791,testuser2025,1767150275,빠른기부하기,0,0,0,0,0,쇼핑,,0,0,0,0,0,빠른기부하기,1,0,,0,0,2026-01-22 19:07:27,172.20.0.2,0,1,0,2026-01-22 19:07:27
113,2026012221271906,,1767150275,빠른기부하기,0,0,0,0,0,입금,,0,0,0,0,0,빠른기부하기,1,0,,0,0,2026-01-22 21:27:13,172.20.0.2,0,1,1,2026-01-22 21:27:13
115,2026012315383220,baraem,1766969928,후원의 집 참여,0,0,0,0,0,쇼핑,,0,0,0,0,0,후원의 집 참여,1,0,,0,0,2026-01-23 15:41:47,1.212.55.19,0,1,0,2026-01-23 15:41:47
116,2026012609065667,,1767150275,빠른기부하기,0,0,0,0,0,쇼핑,,0,0,0,0,0,빠른기부하기,1,0,,0,0,2026-01-26 09:06:56,1.212.55.19,0,1,0,2026-01-26 09:06:56
117,2026012611545575,,1767150275,빠른기부하기,0,0,0,0,0,쇼핑,,0,0,0,0,0,빠른기부하기,1,0,,0,0,2026-01-26 11:54:55,121.145.231.114,0,1,0,2026-01-26 11:54:55
118,2026012611590788,,1767150275,빠른기부하기,0,0,0,0,0,쇼핑,,0,0,0,0,0,빠른기부하기,1,0,,0,0,2026-01-26 11:59:07,112.217.175.210,0,1,0,2026-01-26 11:59:07
119,2026012613062557,,1767150275,빠른기부하기,0,0,0,0,0,쇼핑,,0,0,0,0,0,빠른기부하기,1,0,,0,0,2026-01-26 13:06:25,1.212.55.19,0,1,0,2026-01-26 13:06:25
121,2026012615345899,testkcp,1767150275,빠른기부하기,0,0,0,0,0,쇼핑,,0,0,0,0,0,빠른기부하기,1,0,,0,0,2026-01-26 15:34:58,1.212.55.19,0,1,0,2026-01-26 15:34:58
124,2026012615115824,testkcp,1767150275,빠른기부하기,0,0,0,0,0,쇼핑,,0,0,0,0,0,빠른기부하기,1,0,,0,0,2026-01-26 15:38:15,210.182.92.5,0,1,0,2026-01-26 15:38:15
125,2026012616461724,,1767150275,빠른기부하기,0,0,0,0,0,쇼핑,,0,0,0,0,0,빠른기부하기,1,0,,0,0,2026-01-26 16:46:17,112.217.175.210,0,1,0,2026-01-26 16:46:17
126,2026012721174650,,1767150275,빠른기부하기,0,0,0,0,0,쇼핑,,0,0,0,0,0,빠른기부하기,1,0,,0,0,2026-01-27 21:17:46,121.145.231.114,0,1,1,2026-01-27 21:17:46
