lo_id,lo_ip,mb_id,lo_datetime,lo_location,lo_url
336887,85.208.96.202,,2026-01-29 17:10:12,사업검토 글답변,/bbs/write.php?bo_table=landreview&page=40&w=r&wr_id=9
336899,85.208.96.193,,2026-01-29 17:05:08,경북 경주시 외동읍 녹동리 *** > 사업검토,/bbs/board.php?bo_table=landreview&page=15&sca=%EA%B1%B4%EC%B6%95%EC%82%AC%EC%97%85%EA%B2%80%ED%86%A0&wr_id=363
336901,85.208.96.211,,2026-01-29 17:07:08,업계 정책자료실 글답변,/bbs/write.php?bo_table=dataroom&page=11&w=r&wr_id=69
336902,85.208.96.210,,2026-01-29 17:09:05,경남 거제시 사등면 > 사업검토,/bbs/board.php?bo_table=landreview&page=5&sca=%EA%B1%B4%EC%B6%95%EC%82%AC%EC%97%85%EA%B2%80%ED%86%A0&wr_id=535
336931,185.191.171.9,,2026-01-29 17:02:09,사업검토 글답변,/bbs/write.php?bo_table=landreview&page=22&w=r&wr_id=229
336932,85.208.96.203,,2026-01-29 17:09:15,사업검토 글답변,/bbs/write.php?bo_table=landreview&page=11&w=r&wr_id=383
336934,185.191.171.8,,2026-01-29 17:07:30,경남 함안군 대산면 장암리 > 사업검토,/bbs/board.php?bo_table=landreview&page=1&sca=%ED%86%A0%EC%A7%80%EC%82%AC%EC%97%85%EA%B2%80%ED%86%A0&wr_id=634
336941,51.222.154.197,,2026-01-29 17:12:41,이미지 크게보기,/bbs/view_image.php?bo_table=landreview&fn=c069714e1ca875123fa1fec5328f826b_kchMvNXU_e7626bdb32e9a3ec30ee63b4e0622590254182d0.png
336942,185.191.171.4,,2026-01-29 17:10:28,업계 정책자료실 글답변,/bbs/write.php?bo_table=dataroom&page=3&w=r&wr_id=204
336951,185.191.171.6,,2026-01-29 17:08:06,업계 정책자료실 글답변,/bbs/write.php?bo_table=dataroom&page=8&w=r&wr_id=41
336953,52.4.238.8,,2026-01-29 17:09:28,경상남도 창원시 의창구 대산면 가술리 *** > 사업검토,/bbs/board.php?bo_table=landreview&page=29&sca=%EA%B1%B4%EC%B6%95%EC%82%AC%EC%97%85%EA%B2%80%ED%86%A0&wr_id=169
336954,185.191.171.11,,2026-01-29 17:11:32,업계 정책자료실 글답변,/bbs/write.php?bo_table=dataroom&page=16&w=r&wr_id=8
336956,185.191.171.5,,2026-01-29 17:03:55,업계 정책자료실 글답변,/bbs/write.php?bo_table=dataroom&page=9&w=r&wr_id=24
336959,85.208.96.200,,2026-01-29 17:12:10,토지현장 글답변,/bbs/write.php?bo_table=landsite&page=5&w=r&wr_id=32
336960,66.249.64.165,,2026-01-29 17:01:58,속초시, 태양광 발전 자동 접이식 쓰레기 집하장 시범운영 > 업계 정책자료실,/bbs/board.php?bo_table=dataroom&wr_id=56&page=18
336961,85.208.96.212,,2026-01-29 17:06:00,경북 칠곡군 지천면 > 사업검토,/bbs/board.php?bo_table=landreview&page=1&sca=%EA%B1%B4%EC%B6%95%EC%82%AC%EC%97%85%EA%B2%80%ED%86%A0&wr_id=564
336962,185.191.171.16,,2026-01-29 17:03:19,업계 정책자료실 글답변,/bbs/write.php?bo_table=dataroom&page=10&w=r&wr_id=63
336963,85.208.96.207,,2026-01-29 17:03:22,사업검토 글답변,/bbs/write.php?bo_table=landreview&page=15&sca=%EA%B1%B4%EC%B6%95%EC%82%AC%EC%97%85%EA%B2%80%ED%86%A0&w=r&wr_id=289
336964,114.202.139.59,,2026-01-29 17:11:51,오류안내 페이지,/bbs/write_update.php
