vs_date,vs_count
2025-09-28,3
2025-10-04,4
2025-10-08,4
2025-09-21,5
2025-09-26,6
2025-09-27,6
2025-10-05,6
2025-09-29,8
2025-10-12,8
2025-10-07,9
2025-09-24,10
2025-10-01,10
2025-10-11,10
2025-09-22,13
2025-09-30,13
2025-10-06,13
2025-09-23,14
2025-10-09,14
2025-10-14,15
2025-10-03,16
2025-09-25,17
2025-10-10,18
2025-10-13,22
2025-10-02,29
2025-09-04,38
2025-09-19,44
2025-09-05,50
2025-09-10,59
2025-09-14,69
2025-09-09,83
2025-09-15,85
2025-09-07,88
2025-09-03,95
2025-09-12,98
2025-09-17,99
2025-09-13,113
2025-10-17,118
2025-09-08,126
2025-09-16,130
2025-09-18,133
2025-09-06,135
2025-10-20,156
2025-09-11,199
2025-10-21,255
2025-10-15,303
2025-12-06,413
2025-12-12,428
2025-12-08,433
2025-12-14,433
2025-12-09,442
2025-12-13,449
2025-12-07,466
2025-10-22,486
2026-01-29,496
2025-12-11,500
2025-12-16,521
2025-12-15,540
2025-10-23,548
2025-10-24,560
2025-12-26,596
2025-12-25,604
2025-12-30,622
2026-01-23,660
2025-12-24,682
2025-12-29,687
2026-01-22,688
2025-12-27,691
2025-12-28,732
2025-12-05,744
2025-12-22,750
2026-01-21,760
2026-01-28,764
2026-01-15,767
2025-12-18,771
2026-01-19,779
2025-12-17,781
2026-01-20,813
2025-10-25,814
2026-01-16,817
2026-01-18,827
2025-10-30,857
2025-12-20,858
2026-01-25,858
2025-12-31,860
2026-01-17,873
2026-01-24,899
2025-10-26,911
2025-11-03,929
2025-11-06,944
2025-10-29,954
2025-10-27,976
2025-10-31,1000
2025-11-04,1016
2025-10-28,1018
2025-11-02,1042
2025-12-23,1059
2025-11-05,1072
2025-11-23,1109
2026-01-26,1114
2025-12-04,1125
