lc_id,lc_name,lc_count,lc_datetime
1,인문학,4,2025-10-30 03:28:28
2,코딩,1,2025-10-30 03:28:28
3,Ai,33,2025-10-30 03:28:28
4,심리학,0,2025-10-30 03:28:28
5,데이터분석,0,2025-10-30 03:28:28
6,교육,0,2025-10-30 03:28:28
7,마케팅,0,2025-10-30 03:28:28
8,재무관리,0,2025-10-30 03:28:28
9,커뮤니케이션,0,2025-10-30 03:28:28
10,비즈니스 전략,1,2025-10-30 03:28:28
14,조직문화 활성화,2,2026-01-11 23:10:40
15,토론,1,2026-01-21 15:23:17
16,독서법,2,2026-01-21 15:28:08
17,회의기법,1,2026-01-21 15:30:16
18,글쓰기,2,2026-01-21 15:32:45
19,주민자치이해, 주민자치회 프로세스,1,2026-01-27 02:58:55
