vi_id,vi_ip,vi_date,vi_time,vi_referer,vi_agent,vi_browser,vi_os,vi_device
1,172.21.0.2,2025-10-10,14:58:24,http://lecture_log.test/install/install_db.php,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36,,,
2,172.18.0.2,2025-10-15,11:38:06,,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36,,,
3,172.20.0.5,2025-10-15,11:57:07,,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36,,,
6,127.0.0.1,2025-10-15,18:08:36,,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36,,,
7,172.18.0.2,2025-10-16,15:24:44,,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36,,,
8,127.0.0.1,2025-10-16,18:25:46,,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36,,,
9,172.19.0.4,2025-10-17,10:25:30,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36,,,
10,127.0.0.1,2025-10-17,12:26:57,,curl/8.14.1,,,
12,172.18.0.3,2025-10-17,14:18:24,,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36,,,
24,172.18.0.3,2025-10-18,0:51:44,,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36,,,
41,172.18.0.3,2025-10-19,1:26:04,,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36,,,
54,172.18.0.3,2025-10-20,1:19:13,,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36,,,
65,172.18.0.2,2025-10-20,18:11:40,,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36,,,
71,172.18.0.3,2025-10-21,1:48:14,,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36,,,
