bo_table,wr_id,bf_no,bf_source,bf_file,bf_download,bf_content,bf_fileurl,bf_thumburl,bf_storage,bf_filesize,bf_width,bf_height,bf_type,bf_datetime
buildingsite,4,0,한영 공사완1.jpg,c069714e1ca875123fa1fec5328f826b_Fr6e3hmU_5798e6024dbb5e3b4d40494fca261cb47b3e2028.jpg,0,,,,,394417,1288,720,2,2025-12-30 10:58:09
buildingsite,4,1,한영 공사완2.jpg,c069714e1ca875123fa1fec5328f826b_icxaKyU6_0758b675e9096388a83b8d1046d880f9dd674f5b.jpg,0,,,,,481955,1288,720,2,2025-12-30 10:58:09
buildingsite,4,2,한영 공사완3.jpg,c069714e1ca875123fa1fec5328f826b_5CRejtNm_c225c2bf3a63c92bbbae30dfd39a3c0d77ea9262.jpg,0,,,,,373010,1288,720,2,2025-12-30 10:58:09
buildingsite,4,3,한영 공사완4.jpg,c069714e1ca875123fa1fec5328f826b_nk3mbc9v_a51c33fda59aad34179a968094553c5755e39afc.jpg,0,,,,,395347,1288,720,2,2025-12-30 10:58:09
buildingsite,4,4,한영 공사완5.jpg,c069714e1ca875123fa1fec5328f826b_KPlk64zM_7f053417647c7057943e26c94a173aa1af82a0b6.jpg,0,,,,,364273,1288,720,2,2025-12-30 10:58:09
buildingsite,4,5,한영 공사중.jpg,c069714e1ca875123fa1fec5328f826b_k6LgRrXa_680837ecd53bf66b213bfaf2cc215a9cc1265f23.jpg,0,,,,,279332,1280,720,2,2025-12-30 10:58:09
buildingsite,4,6,한영 공사전1.jpg,c069714e1ca875123fa1fec5328f826b_eYbrmFqE_36ce016c1e2ced2590efabb911d915d01d506c15.jpg,0,,,,,378617,1288,720,2,2025-12-30 10:58:09
buildingsite,5,0,칠곡5개소 공사완1.jpg,c069714e1ca875123fa1fec5328f826b_WqBscMTk_c59542e4f6e583388fb0a2ccbafc4e561e98d28e.jpg,0,,,,,465463,1288,720,2,2025-12-30 13:49:02
buildingsite,5,1,칠곡5개소 공사완2.jpg,c069714e1ca875123fa1fec5328f826b_rZ6WJvCK_6f7fbf521a7b32239af3aae2618b2e09e135f5f7.jpg,0,,,,,455478,1288,720,2,2025-12-30 13:49:02
buildingsite,5,2,칠곡5개소 공사완3.jpg,c069714e1ca875123fa1fec5328f826b_xh0LBFVU_ed4df69f7d3e76e1edf3f666549e839e7051e5c8.jpg,0,,,,,467136,1288,720,2,2025-12-30 13:49:02
buildingsite,5,3,칠곡5개소 공사완4.jpg,c069714e1ca875123fa1fec5328f826b_hFjMJL8u_98173b733074a8c67f76771a406ce7f867449196.jpg,0,,,,,442225,1288,720,2,2025-12-30 13:49:02
