lo_id,lo_ip,mb_id,lo_datetime,lo_location,lo_url
336959,85.208.96.200,,2026-01-29 18:12:31,사업검토 글답변,/bbs/write.php?bo_table=landreview&page=21&sca=%EA%B1%B4%EC%B6%95%EC%82%AC%EC%97%85%EA%B2%80%ED%86%A0&w=r&wr_id=266
337100,85.208.96.199,,2026-01-29 18:10:41,업계 정책자료실 글답변,/bbs/write.php?bo_table=dataroom&page=7&w=r&wr_id=8
337108,85.208.96.208,,2026-01-29 18:14:40,부산광역시 강서구 화전산단 *** > 사업검토,/bbs/board.php?bo_table=landreview&page=17&sca=%EA%B1%B4%EC%B6%95%EC%82%AC%EC%97%85%EA%B2%80%ED%86%A0&wr_id=328
337117,185.191.171.11,,2026-01-29 18:11:03,사업검토 글답변,/bbs/write.php?bo_table=landreview&page=9&w=r&wr_id=506
337118,185.191.171.9,,2026-01-29 18:14:56,사업검토 글답변,/bbs/write.php?bo_table=landreview&page=17&sca=%EA%B1%B4%EC%B6%95%EC%82%AC%EC%97%85%EA%B2%80%ED%86%A0&w=r&wr_id=303
337122,185.191.171.15,,2026-01-29 18:12:53,건축물현장 글답변,/bbs/write.php?bo_table=buildingsite&page=2&w=r&wr_id=49
337123,185.191.171.3,,2026-01-29 18:18:28,사업검토 글답변,/bbs/write.php?bo_table=landreview&page=28&w=r&wr_id=150
337124,85.208.96.197,,2026-01-29 18:19:12,업계 정책자료실 글답변,/bbs/write.php?bo_table=dataroom&page=10&w=r&wr_id=57
337130,185.191.171.6,,2026-01-29 18:16:45,사업검토 글답변,/bbs/write.php?bo_table=landreview&page=17&w=r&wr_id=262
337133,185.191.171.12,,2026-01-29 18:10:28,사업검토 글답변,/bbs/write.php?bo_table=landreview&page=36&w=r&wr_id=63
337135,85.208.96.204,,2026-01-29 18:18:15,사업검토 글답변,/bbs/write.php?bo_table=landreview&page=4&sca=%EA%B1%B4%EC%B6%95%EC%82%AC%EC%97%85%EA%B2%80%ED%86%A0&w=r&wr_id=568
337138,185.191.171.4,,2026-01-29 18:18:01,울산광역시 울주군 상북면 길천산업로 > 사업검토,/bbs/board.php?bo_table=landreview&page=13&sca=%EA%B1%B4%EC%B6%95%EC%82%AC%EC%97%85%EA%B2%80%ED%86%A0&wr_id=370
337139,85.208.96.193,,2026-01-29 18:18:05,업계 정책자료실 글답변,/bbs/write.php?bo_table=dataroom&page=6&w=r&wr_id=116
337140,185.191.171.7,,2026-01-29 18:14:08,업계 정책자료실 글답변,/bbs/write.php?bo_table=dataroom&page=14&w=r&wr_id=10
337141,185.191.171.14,,2026-01-29 18:13:50,사업검토 글답변,/bbs/write.php?bo_table=landreview&page=4&w=r&wr_id=585
337142,85.208.96.211,,2026-01-29 18:13:05,경상남도 김해시 진례면 담안리 *** > 사업검토,/bbs/board.php?bo_table=landreview&page=31&sca=%EA%B1%B4%EC%B6%95%EC%82%AC%EC%97%85%EA%B2%80%ED%86%A0&wr_id=56
337143,52.167.144.186,,2026-01-29 18:13:49,오류안내 페이지,/bbs/board.php?bo_table=sun_sales&wr_id=29&page=1
337144,185.191.171.2,,2026-01-29 18:19:30,사업검토 글답변,/bbs/write.php?bo_table=landreview&page=19&sca=%EA%B1%B4%EC%B6%95%EC%82%AC%EC%97%85%EA%B2%80%ED%86%A0&w=r&wr_id=224
337145,185.191.171.13,,2026-01-29 18:15:10,업계 정책자료실 글답변,/bbs/write.php?bo_table=dataroom&page=8&w=r&wr_id=38
337146,85.208.96.195,,2026-01-29 18:17:49,사업검토 글답변,/bbs/write.php?bo_table=landreview&page=36&w=r&wr_id=69
337147,185.191.171.18,,2026-01-29 18:18:47,경상남도 김해시 진례면 담안리 *** > 사업검토,/bbs/board.php?bo_table=landreview&page=29&sca=%EA%B1%B4%EC%B6%95%EC%82%AC%EC%97%85%EA%B2%80%ED%86%A0&wr_id=74
337148,198.244.183.99,,2026-01-29 18:17:37,오류안내 페이지,/bbs/board.php?bo_table=construction&wr_id=20&page=8
337149,85.208.96.206,,2026-01-29 18:17:52,사업검토 글답변,/bbs/write.php?bo_table=landreview&page=3&w=r&wr_id=550
337150,85.208.96.202,,2026-01-29 18:19:36,사업검토 글답변,/bbs/write.php?bo_table=landreview&page=9&w=r&wr_id=425
337151,66.249.64.164,,2026-01-29 18:18:46,충북 음성군 금왕읍 > 사업검토,/bbs/board.php?bo_table=landreview&wr_id=598&sca=%EA%B1%B4%EC%B6%95%EC%82%AC%EC%97%85%EA%B2%80%ED%86%A0&page=5
337152,85.208.96.205,,2026-01-29 18:18:49,사업검토 글답변,/bbs/write.php?bo_table=landreview&page=19&w=r&wr_id=284
337153,216.73.216.153,,2026-01-29 18:20:28,경상남도 창녕군 영산면 서리 *** > 사업검토,/bbs/board.php?bo_table=landreview&page=39&wr_id=229
