bn_id,bo_table,wr_id,wr_parent,bn_datetime,mb_id
5,calendar,29,29,2026-01-12 08:10:40,schong1972
6,calendar,30,30,2026-01-12 08:28:38,schong1972
8,calendar,32,32,2026-01-12 11:55:55,test
9,calendar,33,33,2026-01-12 12:03:07,test
10,calendar,34,34,2026-01-12 12:03:22,test
11,calendar,35,35,2026-01-12 12:03:39,test
12,calendar,36,36,2026-01-13 11:58:39,test
13,calendar,37,37,2026-01-13 11:58:59,test
14,calendar,38,38,2026-01-13 12:01:16,test
15,calendar,39,39,2026-01-13 12:02:38,test
16,calendar,40,40,2026-01-13 12:03:07,test
20,calendar,44,44,2026-01-20 16:49:29,schong1972
21,calendar,45,45,2026-01-22 00:21:38,schong1972
22,calendar,46,46,2026-01-22 00:23:17,schong1972
23,calendar,47,47,2026-01-22 00:24:49,schong1972
24,calendar,48,48,2026-01-22 00:25:38,schong1972
25,calendar,49,49,2026-01-22 00:26:22,schong1972
26,calendar,50,50,2026-01-22 00:27:00,schong1972
27,calendar,51,51,2026-01-22 00:28:08,schong1972
28,calendar,52,52,2026-01-22 00:30:16,schong1972
29,calendar,53,53,2026-01-22 00:31:22,schong1972
31,calendar,55,55,2026-01-22 22:14:54,test
35,notice,4,4,2026-01-24 15:03:58,admin
39,calendar,56,56,2026-01-26 16:38:30,schong1972
40,calendar,57,57,2026-01-27 11:58:55,eflip7
41,calendar,58,58,2026-01-28 11:44:24,schong1972
42,calendar,59,59,2026-01-28 14:44:01,schong1972
43,calendar,60,60,2026-01-28 19:08:28,schong1972
44,calendar,61,61,2026-01-28 19:09:38,schong1972
45,calendar,62,62,2026-01-28 19:13:22,schong1972
46,calendar,63,63,2026-01-29 14:49:04,dnjsxogml2
49,calendar,66,66,2026-01-29 14:49:28,dnjsxogml2
51,calendar,68,68,2026-01-29 14:49:57,dnjsxogml2
52,calendar,69,69,2026-01-29 14:50:12,dnjsxogml2
53,calendar,70,70,2026-01-29 14:52:14,dnjsxogml2
54,calendar,71,71,2026-01-29 14:53:30,dnjsxogml2
55,calendar,72,72,2026-01-29 14:54:49,dnjsxogml2
56,calendar,73,73,2026-01-29 14:55:12,dnjsxogml2
57,lecture_news,1,1,2026-01-29 14:56:54,dnjsxogml2
58,calendar,74,74,2026-01-29 15:24:19,dnjsxogml2
59,calendar,75,75,2026-01-29 15:24:30,dnjsxogml2
60,calendar,76,76,2026-01-29 15:24:52,dnjsxogml2
61,calendar,77,77,2026-01-29 17:34:05,dnjsxogml2
