po_id,mb_id,po_datetime,po_content,po_point,po_use_point,po_expired,po_expire_date,po_mb_point,po_rel_table,po_rel_id,po_rel_action
1,baraem,2025-09-03 10:03:06,2025-09-03 첫로그인,100,0,0,9999-12-31,100,@login,baraem,2025-09-03
2,baraem,2025-09-05 23:00:44,2025-09-05 첫로그인,100,0,0,9999-12-31,200,@login,baraem,2025-09-05
3,baraem,2025-09-06 00:12:17,2025-09-06 첫로그인,100,0,0,9999-12-31,300,@login,baraem,2025-09-06
4,baraem,2025-09-09 18:27:49,2025-09-09 첫로그인,100,0,0,9999-12-31,400,@login,baraem,2025-09-09
5,baraem,2025-09-14 18:04:40,2025-09-14 첫로그인,100,0,0,9999-12-31,500,@login,baraem,2025-09-14
6,baraem,2025-09-16 17:23:01,2025-09-16 첫로그인,100,0,0,9999-12-31,600,@login,baraem,2025-09-16
7,baraem,2025-09-17 12:00:46,2025-09-17 첫로그인,100,0,0,9999-12-31,700,@login,baraem,2025-09-17
8,baraem,2025-09-18 08:10:42,2025-09-18 첫로그인,100,0,0,9999-12-31,800,@login,baraem,2025-09-18
9,ctpv,2025-09-18 14:37:36,2025-09-18 첫로그인,100,0,0,9999-12-31,100,@login,ctpv,2025-09-18
10,baraem,2025-09-19 09:51:54,2025-09-19 첫로그인,100,0,0,9999-12-31,900,@login,baraem,2025-09-19
11,ctpv,2025-09-19 09:53:51,2025-09-19 첫로그인,100,0,0,9999-12-31,200,@login,ctpv,2025-09-19
12,baraem,2025-09-22 10:05:49,2025-09-22 첫로그인,100,0,0,9999-12-31,1000,@login,baraem,2025-09-22
13,baraem,2025-09-23 09:05:57,2025-09-23 첫로그인,100,0,0,9999-12-31,1100,@login,baraem,2025-09-23
14,ctpv,2025-09-23 16:51:25,2025-09-23 첫로그인,100,0,0,9999-12-31,300,@login,ctpv,2025-09-23
15,baraem,2025-09-24 14:59:56,2025-09-24 첫로그인,100,0,0,9999-12-31,1200,@login,baraem,2025-09-24
16,baraem,2025-09-25 11:44:28,2025-09-25 첫로그인,100,0,0,9999-12-31,1300,@login,baraem,2025-09-25
17,ctpv,2025-09-25 14:59:57,2025-09-25 첫로그인,100,0,0,9999-12-31,400,@login,ctpv,2025-09-25
18,ctpv,2025-09-26 14:13:43,2025-09-26 첫로그인,100,0,0,9999-12-31,500,@login,ctpv,2025-09-26
19,baraem,2025-09-26 14:27:08,2025-09-26 첫로그인,100,0,0,9999-12-31,1400,@login,baraem,2025-09-26
20,ctpv,2025-09-29 14:47:16,2025-09-29 첫로그인,100,0,0,9999-12-31,600,@login,ctpv,2025-09-29
21,baraem,2025-09-29 14:51:25,2025-09-29 첫로그인,100,0,0,9999-12-31,1500,@login,baraem,2025-09-29
22,ctpv,2025-09-30 09:53:09,2025-09-30 첫로그인,100,0,0,9999-12-31,700,@login,ctpv,2025-09-30
23,baraem,2025-09-30 11:27:55,2025-09-30 첫로그인,100,0,0,9999-12-31,1600,@login,baraem,2025-09-30
24,ctpv,2025-10-01 09:37:14,2025-10-01 첫로그인,100,0,0,9999-12-31,800,@login,ctpv,2025-10-01
25,baraem,2025-10-01 10:26:25,2025-10-01 첫로그인,100,0,0,9999-12-31,1700,@login,baraem,2025-10-01
26,ctpv,2025-10-02 09:53:53,2025-10-02 첫로그인,100,0,0,9999-12-31,900,@login,ctpv,2025-10-02
27,baraem,2025-10-02 10:07:33,2025-10-02 첫로그인,100,0,0,9999-12-31,1800,@login,baraem,2025-10-02
28,baraem,2025-10-03 18:45:16,2025-10-03 첫로그인,100,0,0,9999-12-31,1900,@login,baraem,2025-10-03
29,baraem,2025-10-10 11:21:47,2025-10-10 첫로그인,100,0,0,9999-12-31,2000,@login,baraem,2025-10-10
30,ctpv,2025-10-13 08:57:55,2025-10-13 첫로그인,100,0,0,9999-12-31,1000,@login,ctpv,2025-10-13
