wr_id,wr_num,wr_reply,wr_parent,wr_is_comment,wr_comment,wr_comment_reply,ca_name,wr_option,wr_subject,wr_content,wr_seo_title,wr_link1,wr_link2,wr_link1_hit,wr_link2_hit,wr_hit,wr_good,wr_nogood,mb_id,wr_password,wr_name,wr_email,wr_homepage,wr_datetime,wr_file,wr_last,wr_ip,wr_facebook_user,wr_twitter_user,wr_1,wr_2,wr_3,wr_4,wr_5,wr_6,wr_7,wr_8,wr_9,wr_10,wr_11,wr_12
5,-1,,5,0,0,,개인,set(),위미태양광발전소,,위미태양광발전소,,,0,0,760,0,0,admin,,(주)제일테크,ctpv@ctpv.kr,,2024-11-22 17:54:32,2,2024-11-22 17:54:32,1.212.55.19,,,제주특별자치도 서귀포시 남원읍 위미리,2021.12,4,500,현물거래,-,개인,자가,,,,None,None
6,-2,,6,0,0,,개인,set(),고성태양광발전소,,고성태양광발전소,,,0,0,793,0,0,admin,,(주)제일테크,ctpv@ctpv.kr,,2024-11-22 18:09:54,2,2024-11-22 18:09:54,1.212.55.19,,,경상남도 고성군,2022.12,300,현물거래,-,개인,자가,,,,None,None
7,-3,,7,0,0,,개인,set(),제일테크 1호,,제일테크-1호,,,0,0,844,0,0,admin,,(주)제일테크,ctpv@ctpv.kr,,2024-11-22 18:11:08,2,2024-11-22 18:11:08,1.212.55.19,,,제주도 서귀포시 남원읍 수망리,개발행위 완료 / PPA 접수 완료,1(MW),현물,미정,개인,임대,2024.03.04,2024.02.16,2024.03.08,공사계획중,1(MW)
8,-4,,8,0,0,,법인,set(),제일테크 2호,,제일테크-2호,,,0,0,887,0,0,admin,,(주)제일테크,ctpv@ctpv.kr,,2024-11-22 18:12:27,2,2024-11-22 18:12:27,1.212.55.19,,,제주도 서귀포시 남원읍 수망리,개발행위 완료 / PPA 접수완료,1(MW),현물,미정,법인,임대,2024.03.04,2024.02.16,2024.03.08,공사계획중,1(MW)
9,-5,,9,0,0,,법인,set(),제일테크 3호,,제일테크-3호,,,0,0,833,0,0,admin,,(주)제일테크,ctpv@ctpv.kr,,2024-11-22 18:15:07,2,2024-11-22 18:15:07,1.212.55.19,,,제주도 서귀포시 회수동,개발행위 완료/ PPA 접수완,1(MW),현물,미정,법인,자가,2024.05.24,2024.04.20,2024.05.27,공사계획중,1MW
10,-6,,10,0,0,,법인,set(),제일테크 4호,,제일테크-4호,,,0,0,843,0,0,admin,,(주)제일테크,ctpv@ctpv.kr,,2024-11-22 18:16:18,2,2024-11-22 18:16:18,1.212.55.19,,,제주도 제주시 해안동,개발행위 완료 / PPA 접수진행중,895,현물,미정,법인,자가,2024.07.11,2024.05.31,접수진행중,공사계획중,895 KW
11,-7,,11,0,0,,법인,set(),제일테크 5호,,제일테크-5호,,,0,0,858,0,0,admin,,(주)제일테크,ctpv@ctpv.kr,,2024-11-22 18:17:41,2,2024-11-22 18:17:41,1.212.55.19,,,제주도 서귀포시 색달동,개발행위 완료 / PPA 접수완료,1(MW),현물,미정,법인,자가,2024.07.09,2024.06.14,2024.07.11,공사계획중,1(MW)
12,-8,,12,0,0,,법인,set(),제일테크 6호,,제일테크-6호,,,0,0,880,0,0,admin,,(주)제일테크,ctpv@ctpv.kr,,2024-11-22 18:19:02,2,2024-11-22 18:19:02,1.212.55.19,,,제주도 서귀포시 색달동,개발행위 완료 / PPA 접수진행중,100,현물,미정,법인,자가,2024.07.11,2024.06.14,진행중,공사계획중,100KW
13,-9,,13,0,0,,법인,set(),제일테크 7호,,제일테크-7호,,,0,0,912,0,0,admin,,(주)제일테크,ctpv@ctpv.kr,,2024-11-22 18:20:20,2,2024-11-22 18:20:20,1.212.55.19,,,제주도 제주시 구좌읍 행원리,개발행위완료 / PPA접수완료,1(MW),현물,미정,법인,자가,2024.08.19,2024.08.19,2024.08.22,공사계획중,1(MW)
14,-10,,14,0,0,,법인,set(),제일테크 8호,,제일테크-8호,,,0,0,1001,0,0,admin,,(주)제일테크,ctpv@ctpv.kr,,2024-11-22 18:21:38,2,2024-11-22 18:21:38,1.212.55.19,,,제주도 제주시 구좌읍 행원리,발전사업허가 접수진행중,748,현물,미정,법인,자가,2024.08.19,2024.08.19,2024.08.22,공사계획중,748KW
15,-11,,15,0,0,,법인,set(),제일테크 9호,,제일테크-9호,,,0,0,1030,0,0,admin,,(주)제일테크,ctpv@ctpv.kr,,2024-11-22 18:22:50,2,2024-11-22 18:22:50,1.212.55.19,,,제주도 서귀포시 안덕면 상천리,개발행위허가 완료 /PPA접수완료,1(MW),현물,미정,법인,자가,2024.08.12,2024.08.12,2024.08.21,공사계획중,1(MW)
16,-12,,16,0,0,,법인,set(),제일테크 10호,,제일테크-10호,,,0,0,1035,0,0,admin,,(주)제일테크,ctpv@ctpv.kr,,2024-11-22 18:23:56,2,2024-11-22 18:23:56,1.212.55.19,,,제주도 제주시 해안동,개발행위허가완료 /PPA접수완료,1(MW),현물,미정,법인,자가,2024.08.12,2024.08.12,2024.08.21,공사계획중,1(MW)
17,-13,,17,0,0,,개인,set(),빛나리 2호,,빛나리-2호,,,0,0,985,0,0,admin,,(주)제일테크,ctpv@ctpv.kr,,2024-11-22 18:25:02,2,2024-11-22 18:25:02,1.212.55.19,,,제주도 제주시 구좌읍 행원리,개발행위 완료 / PPA 접수완료,1(MW),현물,미정,개인,자가,2023.10.10,2023.09.11,2023.10.11,공사계획중,1(MW)
18,-14,,18,0,0,,개인,set(),빛나리 3호,,빛나리-3호,,,0,0,964,0,0,admin,,(주)제일테크,ctpv@ctpv.kr,,2024-11-22 18:26:34,2,2024-11-22 18:26:34,1.212.55.19,,,제주도 제주시 구좌읍 행원리,개발행위 완료 / PPA 접수완료,188,현물,미정,개인,자가,2023.10.10,2023.09.11,2023.10.31,공사계획중,188KW
19,-15,,19,0,0,,개인,set(),빛나리 4호,,빛나리-4호,,,0,0,975,0,0,admin,,(주)제일테크,ctpv@ctpv.kr,,2024-11-22 18:27:34,2,2024-11-22 18:27:34,1.212.55.19,,,제주도 제주시 구좌읍 행원리,개발행위 완료 / PPA 접수완료,646,현물,미정,개인,자가,2023.10.10,2023.09.11,2023.10.11,공사계획중,646KW
